province,city,total,category
서울특별시,강남구,8862 ,서비스
서울특별시,서초구,4623 ,서비스
서울특별시,송파구,4116 ,서비스
서울특별시,마포구,3772 ,서비스
서울특별시,강서구,3507 ,서비스
서울특별시,영등포구,3481 ,서비스
서울특별시,관악구,3280 ,서비스
서울특별시,광진구,3135 ,서비스
서울특별시,강동구,3105 ,서비스
서울특별시,중구,2939 ,서비스
서울특별시,노원구,2863 ,서비스
서울특별시,구로구,2863 ,서비스
서울특별시,양천구,2806 ,서비스
서울특별시,서대문구,2715 ,서비스
서울특별시,은평구,2681 ,서비스
서울특별시,동작구,2552 ,서비스
서울특별시,성북구,2456 ,서비스
서울특별시,중랑구,2434 ,서비스
서울특별시,종로구,2413 ,서비스
서울특별시,동대문구,2375 ,서비스
서울특별시,강북구,2291 ,서비스
서울특별시,성동구,2268 ,서비스
서울특별시,용산구,2224 ,서비스
서울특별시,금천구,2083 ,서비스
서울특별시,도봉구,1926 ,서비스
